crop,temperature,rainfall,sunshine_hours,ph,organic_carbon,cec,awc,bulk_density,rooting_depth_m,texture,texture_code,suitability,suitability_class
Brinjal,28.816073505352463,2627.1249261221924,7.866258624830957,4.669331569987596,3.6768291752018056,18.51104202921949,0.04154889830512467,1.3309361984661845,0.6965501645955419,silt loam,5,0.745,Unsuitable
Brinjal,31.690453975957432,2472.574797895691,7.8529737928778935,4.7484724158325,4.897936996021953,10.516206850178946,0.040246667046877675,1.1812682290158283,1.3649978442910244,loamy sand,2,0.719,Unsuitable
Brinjal,26.791394274080307,2723.8327222882217,8.955219117081713,4.587656236312228,2.6077755228685966,16.734730653050402,0.01008511677247652,1.2649455417858693,0.6348781655538143,sand,1,0.718,Unsuitable
Brinjal,30.353374341144892,2794.935396010179,8.84307868113375,4.89532898458276,4.238583990833711,19.41908044310821,0.03820641559671696,1.2820033046607628,0.34651592911402773,silt loam,5,0.705,Unsuitable
Brinjal,28.44307215233524,2810.3495287834717,7.031230758698989,4.731118152888096,3.078127834492715,10.51852398952654,0.04230712689677895,1.4374529467927337,1.197846384520922,clay loam,6,0.731,Unsuitable
Brinjal,27.888653618663632,2656.392304823085,8.436549115912294,5.317447897677111,4.635901002961203,10.641439882308624,0.04040176541092847,1.1733972383143556,0.6292999541868523,silt loam,5,0.71,Unsuitable
Brinjal,23.521193729427257,2513.8093257487526,6.483286468147318,5.357578387252612,3.0416677589195387,13.939399303557241,0.0424401907620713,1.1341193892515464,0.9060549758685481,sand,1,0.704,Unsuitable
Brinjal,30.168963051537432,2479.516797772958,6.82220546403781,5.100833264311597,3.430557336172873,18.853723716214574,0.024215071459110088,1.4167602300885043,0.7801220129417309,clay,7,0.731,Unsuitable
Brinjal,26.500625291535187,2616.610327126726,8.911136636347727,5.577181081371251,3.744854036730665,13.289335525611211,0.014790474088839538,1.4540386362216142,0.7208829663024858,clay loam,6,0.752,Suitable
Brinjal,23.83184366196417,2523.570476526134,8.7299299391049,5.109768579037579,4.228484715499792,7.811089616631678,0.017358110429135955,1.2098310315839873,0.6022530081893097,loam,4,0.732,Unsuitable
Brinjal,30.642277611238235,2886.832383892499,8.27843091837003,5.0986933877572405,2.4321657959758487,9.144041600944334,0.042661366018345324,1.3639056530175857,0.9584663335109767,loamy sand,2,0.792,Suitable
Brinjal,31.099017139841244,2769.5256914049946,6.485741113879948,5.168911597895547,3.3876470489773083,15.13504181438817,0.011587361990357644,1.1773097245213062,1.3797249248464354,loamy sand,2,0.783,Suitable
